#{"t_start": 1770583015.146034, "env_id": "None"}
r,l,t
206.66751,500,1091.287319
38.88925,500,1104.545997
94.03082,500,1104.54604
157.14374,500,1104.546056
108.09283,500,1104.546069
37.254807,500,1117.930136
148.25285,500,1117.930175
-61.26778,500,1117.930191
36.66657,500,1117.930205
107.66824,500,1132.470929
79.93137,500,1132.470969
63.691124,500,1132.470986
-4.580302,500,1132.470999
170.27132,500,1157.277972
55.798027,500,1157.278014
-54.063793,500,1157.27803
171.24272,500,1157.278043
41.06638,500,1171.785257
-26.751768,500,1171.785298
123.33381,500,1171.785315
234.48369,500,1171.785327
217.40695,500,1185.348586
111.726685,500,1185.348626
252.11333,500,1185.348642
76.26013,500,1185.348655
-35.065117,500,1198.688393
150.00092,500,1198.688435
28.571701,500,1198.688452
-23.636553,500,1198.688464
83.54524,500,1225.194214
147.38744,500,1225.194255
-40.52065,500,1225.194271
221.0341,500,1225.194284
134.11446,500,1238.601109
-8.832101,500,1238.60115
260.2947,500,1238.601166
233.3344,500,1238.601179
245.19656,500,1256.44744
59.011547,500,1256.44748
139.8655,500,1256.447496
-19.254793,500,1256.447508
-9.090992,500,1273.17231
162.97682,500,1273.172356
212.29314,500,1273.172372
216.15158,500,1273.172385
-28.571619,500,1302.254848
7.638941,500,1302.254903
194.47891,500,1302.25492
30.292938,500,1302.254934
191.80412,500,1317.785697
136.75024,500,1317.785742
221.30077,500,1317.785759
-20.577826,500,1317.785771
10.738155,500,1333.103387
170.9929,500,1333.103427
59.69657,500,1333.103443
172.18993,500,1333.103455
190.44217,500,1347.600348
155.38513,500,1347.600403
66.03863,500,1347.60042
150.79453,500,1347.600432
323.45255,500,1375.622509
51.079647,500,1375.622605
168.45744,500,1375.622628
254.83919,500,1375.622642
273.3331,500,1389.993196
201.64021,500,1389.993236
261.37042,500,1389.993252
4.2472906,500,1389.993264
133.76723,500,1404.92949
100.000946,500,1404.929538
254.94939,500,1404.929554
114.92604,500,1404.929567
225.42453,500,1418.207816
39.78562,500,1418.207857
215.41335,500,1418.207874
237.88467,500,1418.207887
273.37714,500,1443.968884
1.1237519,500,1443.968929
399.9988,500,1443.968945
-1.8182114,500,1443.968958
-14.191581,500,1457.126492
286.09967,500,1457.126534
239.93428,500,1457.126551
-32.74872,500,1457.126564
172.72824,500,1470.814584
214.02548,500,1470.814622
85.81177,500,1470.814638
7.7845554,500,1470.81465
-12.3378525,500,1485.677404
181.02289,500,1485.677443
-31.159616,500,1485.677459
313.55884,500,1485.677471
-36.50813,500,1501.014087
291.16763,500,1501.014128
307.7668,500,1501.014145
5.7691,500,1501.014158
192.51768,500,1526.088079
373.15256,500,1526.08812
274.62256,500,1526.088135
40.76314,500,1526.088147
380.13132,500,1540.951803
233.3323,500,1540.951844
48.410645,500,1540.95186
56.364536,500,1540.951873
-32.66012,500,1555.474195
231.05885,500,1555.474236
301.9282,500,1555.474251
16.505112,500,1555.474263
258.88477,500,1570.273541
308.63525,500,1570.273582
41.975994,500,1570.273598
-64.2859,500,1570.273611
333.77393,500,1595.124806
146.57637,500,1595.124856
193.4792,500,1595.124873
161.74591,500,1595.124886
178.35138,500,1609.305711
-18.182001,500,1609.305752
445.45343,500,1609.305768
267.0884,500,1609.30578
386.57578,500,1625.982453
150.82602,500,1625.982494
62.712994,500,1625.98251
274.5557,500,1625.982522
71.429855,500,1642.727933
578.4282,500,1642.727975
233.33188,500,1642.727991
126.95151,500,1642.728004
-6.5743833,500,1668.250829
249.47942,500,1668.250881
26.866188,500,1668.250898
299.99673,500,1668.250911
429.99792,500,1682.230211
45.523197,500,1682.230252
255.39828,500,1682.230268
100.67003,500,1682.23028
468.77255,500,1696.980564
22.516907,500,1696.980605
176.12036,500,1696.980621
275.83792,500,1696.980634
269.90347,500,1713.746543
225.73355,500,1713.746591
369.59354,500,1713.746607
194.5468,500,1713.746619
326.75143,500,1739.577173
298.05826,500,1739.577218
344.82745,500,1739.577234
168.88329,500,1739.577247
268.74844,500,1753.697196
79.4878,500,1753.697244
282.26215,500,1753.697261
-25.093824,500,1753.697273
417.605,500,1768.916603
-23.913244,500,1768.916645
93.84723,500,1768.91666
-21.501879,500,1768.916673
-31.888731,500,1785.687925
272.7815,500,1785.687965
86.18715,500,1785.687981
438.46115,500,1785.687994
31.902401,500,1811.826536
-39.068306,500,1811.826576
332.2563,500,1811.826592
259.86044,500,1811.826604
312.87637,500,1826.052791
452.18585,500,1826.052836
457.55267,500,1826.052852
367.1263,500,1826.052864
29.630165,500,1840.294441
-30.817804,500,1840.294481
535.13257,500,1840.294497
464.10077,500,1840.294509
237.1632,500,1857.060768
447.9448,500,1857.06081
449.24124,500,1857.060826
265.66904,500,1857.060838
131.03545,500,1883.251003
210.21994,500,1883.251043
305.79453,500,1883.251059
88.81236,500,1883.251071
403.24518,500,1897.452542
433.33093,500,1897.452585
-3.7802558,500,1897.452601
413.69815,500,1897.452614
347.18234,500,1912.605718
-37.12596,500,1912.605762
-25.926138,500,1912.605779
315.16208,500,1912.605791
287.4517,500,1929.197288
372.78677,500,1929.197367
-16.666872,500,1929.197418
280.18948,500,1929.197444
225.65904,500,1954.432447
297.51605,500,1954.432488
28.71267,500,1954.432504
376.7009,500,1954.432517
314.79013,500,1968.932143
443.72552,500,1968.932223
162.6272,500,1968.932244
436.33,500,1968.932261
557.1413,500,1985.638896
494.40494,500,1985.638937
335.8106,500,1985.638953
359.6492,500,1985.638966
557.9916,500,2000.523605
240.13489,500,2000.523645
-18.728117,500,2000.523661
364.2857,500,2000.523674
227.13673,500,2027.339143
401.85776,500,2027.339188
535.37646,500,2027.339204
240.55779,500,2027.339216
382.51602,500,2040.4932
161.68332,500,2040.493248
38.40898,500,2040.493269
95.28724,500,2040.493284
457.37436,500,2053.613684
289.28418,500,2053.613725
211.53915,500,2053.61374
458.13763,500,2053.613753
367.3184,500,2067.244852
271.21283,500,2067.244897
198.81737,500,2067.244913
409.7402,500,2067.244925
32.867714,500,2091.606385
336.50604,500,2091.606426
415.9221,500,2091.606441
275.88718,500,2091.606454
559.66205,500,2104.700481
342.02872,500,2104.700523
329.01996,500,2104.700539
-55.555756,500,2104.700552
413.51105,500,2118.747765
323.79218,500,2118.747809
282.02197,500,2118.74784
379.59067,500,2118.747853
204.48814,500,2133.586421
342.90585,500,2133.58646
436.3307,500,2133.586475
