#{"t_start": 1770500331.618574, "env_id": "None"}
r,l,t
313.9035,1000,1173.984874
770.5064,1000,1183.154279
795.3143,1000,1191.60721
45.21589,1000,1191.607252
487.49527,1000,1191.607268
424.78842,1000,1200.423266
173.92279,1000,1208.860841
541.3159,1000,1208.86088
253.6076,1000,1208.860896
348.1559,1000,1217.944565
216.72168,1000,1226.196399
493.33017,1000,1226.196439
579.4523,1000,1226.196455
762.0716,1000,1235.479976
490.20953,1000,1244.043041
841.37976,1000,1244.043088
271.42426,1000,1244.043104
246.2847,1000,1253.042584
840.5635,1000,1261.451239
733.87854,1000,1261.451284
326.51828,1000,1261.451301
671.81476,1000,1271.59957
653.3325,1000,1280.903525
358.61606,1000,1280.903568
262.0645,1000,1280.903584
488.68048,1000,1290.74287
278.45767,1000,1299.699956
245.45506,1000,1299.699999
575.6768,1000,1299.700015
772.59125,1000,1309.235084
380.47696,1000,1317.779631
83.392006,1000,1317.779675
494.50027,1000,1317.779691
865.1183,1000,1324.403667
542.3579,1000,1334.993083
310.5223,1000,1334.993127
53.595757,1000,1334.993144
545.16986,1000,1341.656438
174.30444,1000,1352.219111
795.5871,1000,1352.219151
120.21777,1000,1352.219166
770.0031,1000,1359.09303
180.64084,1000,1369.950271
674.44696,1000,1369.950312
671.7736,1000,1369.950328
543.37946,1000,1376.620895
771.9046,811,1384.270387
499.3556,1000,1387.151547
787.6515,1000,1387.151585
569.0357,1000,1393.856478
335.36972,1000,1401.560795
826.31946,1000,1404.427268
643.0406,1000,1404.427306
753.66364,1000,1411.323249
298.90286,1000,1419.24612
375.8574,1000,1422.096363
227.39737,1000,1422.096401
234.51498,1000,1428.890529
442.12122,1000,1436.678806
524.6457,1000,1439.588976
805.7305,1000,1439.589015
436.1806,1000,1446.324287
779.70654,1000,1454.079649
844.6415,1000,1456.95645
719.50446,1000,1456.956488
774.5617,1000,1463.78807
812.0943,1000,1471.817034
878.4236,1000,1474.677295
872.1326,1000,1474.681439
596.3753,1000,1481.350884
489.6515,1000,1489.044575
841.59076,1000,1492.171868
844.65814,1000,1492.171914
279.4075,1000,1499.540018
518.25574,1000,1507.827924
764.66736,1000,1510.851938
563.3315,1000,1510.851977
881.35516,1000,1517.860672
327.5815,1000,1526.110844
684.7769,1000,1529.152367
340.13623,1000,1529.152407
819.2344,1000,1536.396184
732.79333,1000,1545.180621
638.3607,1000,1548.268939
839.106,1000,1548.268989
58.96646,267,1552.644772
594.6643,1000,1564.933175
728.2525,1000,1564.933215
450.33148,1000,1564.933231
373.3492,1000,1569.000794
234.36044,1000,1580.735962
269.56073,1000,1580.736005
245.19095,1000,1580.736021
666.23676,1000,1587.099554
379.99576,1000,1598.472157
855.64215,1000,1598.472201
854.07355,1000,1598.472217
613.37885,1000,1605.490535
901.30975,987,1617.116512
429.0275,1000,1617.394496
885.6727,1000,1617.394537
695.5303,1000,1624.791316
889.251,1000,1639.923834
232.1872,1000,1640.160115
741.26825,1000,1640.160167
455.1919,1000,1646.770807
130.52516,1000,1659.869579
797.8928,1000,1660.134747
742.4927,1000,1660.134787
661.7586,1000,1666.916095
345.2007,1000,1678.02698
538.9858,1000,1678.243672
718.18384,1000,1678.243712
864.5475,1000,1684.456507
882.1501,1000,1695.609324
785.90924,1000,1695.841288
460.39905,1000,1695.841326
638.862,1000,1702.085513
716.72754,1000,1713.286691
681.45917,1000,1713.526225
153.20084,1000,1713.526263
836.46124,1000,1720.301188
694.0243,1000,1731.93898
