#{"t_start": 1770578320.2685711, "env_id": "None"}
r,l,t
159.03262,1000,1024.025308
380.2828,1000,1024.025325
309.41626,1000,1024.025338
56.523064,1000,1041.687593
31.148855,1000,1041.687633
350.54663,1000,1041.687648
111.60188,1000,1041.68766
584.21356,1000,1056.410891
159.93568,1000,1056.410937
285.1315,1000,1056.410952
502.26834,1000,1056.410965
169.56161,1000,1074.7475
45.33001,1000,1074.747542
491.75735,1000,1074.747558
155.02942,1000,1074.747571
305.658,1000,1090.380046
49.15384,1000,1090.380084
366.66312,1000,1090.380099
218.60925,1000,1090.380112
48.266266,1000,1107.937795
501.41986,1000,1107.937836
29.252907,1000,1107.937852
372.97025,1000,1107.937864
125.51548,1000,1124.610062
55.894745,1000,1124.610103
528.29236,1000,1124.610119
504.1635,1000,1124.610132
60.1569,1000,1143.780838
78.32081,1000,1143.78089
415.0461,1000,1143.780907
590.7215,1000,1143.78092
649.1977,1000,1161.473132
367.08075,1000,1161.473175
665.5714,1000,1161.473191
503.2235,1000,1161.473204
114.49815,1000,1181.174878
535.1331,1000,1181.174923
505.94458,1000,1181.174939
686.214,1000,1181.174952
347.17883,1000,1198.186374
636.1108,1000,1198.186422
71.974724,1000,1198.186439
489.03665,1000,1198.186452
263.36023,1000,1216.509482
490.22113,1000,1216.509524
665.307,1000,1216.50954
520.33496,1000,1216.509553
527.6582,1000,1232.54361
695.54205,1000,1232.543651
671.12683,1000,1232.543667
432.70673,1000,1232.543679
175.31241,1000,1250.87364
456.73468,1000,1250.873702
149.15366,1000,1250.873722
197.73154,1000,1250.873735
482.13965,1000,1267.319538
505.6292,1000,1267.319578
626.0721,1000,1267.319594
606.32184,1000,1267.319606
603.94867,1000,1285.367985
582.75574,1000,1285.368027
542.5989,1000,1285.368043
589.28906,1000,1285.368056
509.31497,1000,1300.869361
509.75168,1000,1300.86941
663.8403,1000,1300.869426
343.60477,1000,1300.869438
566.6649,1000,1319.365503
638.18304,1000,1319.369724
292.6362,1000,1319.369761
536.7153,1000,1319.369777
700.0096,1000,1334.572592
547.2385,1000,1334.572642
